periode_data,type_operasi,area_operasi,jumlah_bus,jumlah_penumpang
202102,Puskesmas Cempaka Putih,RS Wisma Atlet,1,23
202102,Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,15
202102,Puskesmas Makasar,RS Wisma Atlet,1,14
202102,Puskesmas Duren Sawit,RS Wisma Atlet,1,11
202102,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,7
202102,Puskesmas Ps. Minggu Tahap I,RS Wisma Atlet,1,10
202102,Puskesmas Kelapa Gading,RS Wisma Atlet,1,15
202102,Puskesmas Ciracas,RS Wisma Atlet,1,9
202102,Puskesmas Ps. Minggu Tahap II,RS Wisma Atlet,1,21
202102,Puskesmas Kramat Jati,RS Wisma Atlet,1,14
202102,Puskesmas Papanggo,RS Wisma Atlet,1,21
202102,Puskesmas  Matraman,RS Wisma Atlet,1,18
202102,Puskesmas Kramat Jati,RS Wisma Atlet,1,9
202102,Puskesmas Duren Sawit,RS Wisma Atlet,1,6
202102,Puskesmas Kemayoran,RS Wisma Atlet,1,33
202102,Puskesmas Ciracas,RS Wisma Atlet,1,27
202102,Puskesmas Cempaka Putih,RS Wisma Atlet,1,11
202102,Puskesmas Duren Sawit,RS Wisma Atlet,1,10
202102,Puskesmas Rawabadak Selatan Tahap I,RS Wisma Atlet,1,20
202102,Puskesmas Kebayoran Lama,RS Wisma Atlet,1,5
202102,Puskesmas Jagakarsa,RS Wisma Atlet,1,18
202102,Puskesmas Rawabadak Selatan Tahap II,RS Wisma Atlet,1,7
202102,Puskesmas Pancoran,RS Wisma Atlet,1,26
202102,Puskesmas Ciracas,RS Wisma Atlet,1,46
202102,Puskesmas Grogol Petamburan,RS Wisma Atlet,1,13
202102,Puskesmas Pasar Minggu,RS Wisma Atlet,1,28
202102,Puskesmas Duren Sawit,RS Wisma Atlet,1,7
202102,Puskesmas Makasar,RS Wisma Atlet,1,20
202102,Puskesmas Kemayoran,RS Wisma Atlet,1,20
202102,Puskesmas Ciracas,RS Wisma Atlet,1,20
202102,Puskesmas Pancoran,RS Wisma Atlet,1,14
202102,Puskesmas Cilincing,RS Wisma Atlet,1,12
202102,Puskesmas Pasar Minggu,RS Wisma Atlet,1,10
202102,Puskesmas Kalideres,RS Wisma Atlet,1,7
202102,Puskesmas Kramat Jati,RS Wisma Atlet,1,16
202102,Puskesmas Cipayung,RS Wisma Atlet,1,17
202102,Puskesmas Rawabadak Selatan Tahap I,RS Wisma Atlet,1,28
202102,Puskesmas Makasar,RS Wisma Atlet,1,27
202102,Puskesmas Ciracas,RS Wisma Atlet,1,8
202102,Puskesmas Kemayoran,RS Wisma Atlet,1,13
202102,Puskesmas Tebet,RS Wisma Atlet,1,11
202102,Puskesmas Pasar Minggu,RS Wisma Atlet,1,18
202102,Puskesmas Kramat Jati,RS Wisma Atlet,1,12
202102,Puskesmas Cipayung,RS Wisma Atlet,1,8
202102,Puskesmas Papanggo,RS Wisma Atlet,1,18
202102,Puskesmas Pulogadung,RS Wisma Atlet,1,10
202102,Puskesmas Kelapa Gading,RS Wisma Atlet,1,10
202102,Puskesmas Cempaka Putih,RS Wisma Atlet,1,12
